Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1781654400000,65675.02000000,66445.93000000,63915.77000000,64509.40000000,19048.65409000,1781740799999,1242898548.08223530,3933123,9344.30808000,609795592.73651740,0
1781740800000,64509.40000000,64806.00000000,62272.07000000,62958.01000000,16935.59661000,1781827199999,1076015381.19240890,3573931,8148.66252000,517693581.06281080,0
1781827200000,62958.01000000,63666.00000000,62316.44000000,63543.91000000,14247.42400000,1781913599999,896102952.77531740,2671918,6709.20964000,421981528.27389670,0
1781913600000,63543.90000000,64388.00000000,63184.21000000,64298.01000000,9522.10324000,1781999999999,607077211.75574230,1970081,4669.85879000,297796699.61223290,0
1782000000000,64298.01000000,64588.00000000,63270.00000000,63311.99000000,8034.66333000,1782086399999,514862175.73621230,1768294,3833.13382000,245702909.42023560,0
1782086400000,63312.00000000,65622.83000000,63312.00000000,64020.01000000,15423.10851000,1782172799999,995034557.15634590,3521337,7677.53285000,495354694.74254000,0
1782172800000,64020.01000000,64275.38000000,61938.00000000,62734.57000000,20222.99292000,1782259199999,1268093221.25023340,3626190,9113.26740000,571633628.75893690,0
1782259200000,62734.57000000,63239.06000000,59102.70000000,61077.99000000,30678.28543000,1782345599999,1871885814.30789480,5367531,14451.45440000,882414090.56238450,0
1782345600000,61078.00000000,61962.40000000,58115.01000000,59794.00000000,30386.00694000,1782431999999,1822854100.07008660,5683275,14406.15352000,865169997.77465570,0
1782432000000,59794.64000000,60759.99000000,58337.00000000,60097.27000000,27403.55723000,1782518399999,1636102058.37781230,6019134,13907.49037000,831252961.00078270,0
1782518400000,60097.27000000,60941.17000000,59855.16000000,60029.00000000,9587.22916000,1782604799999,578765263.06984560,1763416,5067.92650000,305951190.25869870,0
1782604800000,60029.01000000,60545.01000000,58905.00000000,59577.01000000,8907.13796000,1782691199999,533333220.81111670,2299232,4290.64588000,257041890.36057810,0
1782691200000,59577.01000000,60780.57000000,58900.01000000,60260.21000000,20203.14178000,1782777599999,1210648237.74401550,4884336,10334.16227000,619595248.52552690,0
1782777600000,60260.20000000,60276.54000000,58201.00000000,58624.71000000,19639.82787000,1782863999999,1157911191.48935650,3804809,8879.55126000,523471695.13157440,0
1782864000000,58624.71000000,61334.00000000,57800.19000000,60024.00000000,25093.44662000,1782950399999,1491051306.81895120,4166849,12936.11295000,769788015.53048130,0
1782950400000,60024.00000000,62200.00000000,59588.00000000,61560.00000000,21382.14163000,1783036799999,1308156569.72009190,3883096,11394.85517000,697154441.64965100,0
1783036800000,61560.00000000,62979.86000000,61248.86000000,62583.26000000,14048.98627000,1783123199999,870359931.58328490,2571531,7249.98683000,449356592.07945980,0
1783123200000,62583.26000000,63461.99000000,62328.24000000,63144.01000000,9139.82740000,1783209599999,574233846.08260510,1643288,4753.53597000,298756917.62605280,0
1783209600000,63144.01000000,63999.00000000,62436.59000000,63650.00000000,9172.07758000,1783295999999,577866444.60744400,1790183,4565.93641000,287772291.72139260,0
1783296000000,63650.01000000,64700.00000000,61306.84000000,64042.02000000,21435.28437000,1783382399999,1347956046.40322690,3777895,11556.55192000,725800060.88856190,0
1783382400000,64042.93000000,64314.00000000,62671.39000000,63363.99000000,16834.20823000,1783468799999,1069267686.88860920,3282102,8128.20476000,516256287.15832790,0
1783468800000,63364.00000000,63761.99000000,61544.56000000,62290.00000000,18620.09796000,1783555199999,1160087170.62003580,3598487,8338.57026000,519456686.00951760,0
1783555200000,62290.01000000,63500.00000000,61705.29000000,63230.00000000,16742.80672000,1783641599999,1050849813.26948410,3176050,7922.48357000,497503064.96286540,0
1783641600000,63230.01000000,64692.83000000,62926.01000000,64161.72000000,17589.00122000,1783727999999,1126097961.00205100,2927425,8727.50290000,558839184.58507300,0
1783728000000,64161.72000000,64504.11000000,63819.00000000,63819.00000000,9151.97432000,1783814399999,587469874.56680870,1406178,3908.28562000,250875418.84110930,0
1783814400000,63819.01000000,64290.11000000,63640.83000000,63780.00000000,13914.83703000,1783900799999,889938572.36794330,1919605,6757.00737000,432156662.98307140,0
1783900800000,63780.00000000,64425.00000000,61824.97000000,62334.52000000,21682.50204000,1783987199999,1361096729.95104340,3349712,9861.43724000,618891429.73544790,0
1783987200000,62334.52000000,65100.00000000,62272.20000000,65043.98000000,20552.41384000,1784073599999,1310854500.68053040,3080945,10847.48978000,692544328.07133690,0
1784073600000,65043.99000000,65600.00000000,64485.00000000,64756.28000000,18401.89741000,1784159999999,1195648323.76851840,2668919,9009.48362000,585447811.84487810,0
1784160000000,64756.28000000,64997.52000000,63748.74000000,63830.20000000,18764.52679000,1784246399999,1206498386.37719370,2813481,9007.30607000,579112000.22671970,0
1784246400000,63830.20000000,64387.99000000,62537.56000000,63931.67000000,18189.89389000,1784332799999,1152546029.34025150,3239296,8618.43801000,545926712.67857150,0
1784332800000,63931.67000000,64865.00000000,63886.65000000,64834.22000000,8031.18012000,1784419199999,515954648.68636990,1088701,4100.21428000,263412780.44647870,0
1784419200000,64834.21000000,64967.25000000,64280.00000000,64722.54000000,8379.91474000,1784505599999,541559101.91299460,1464337,4281.97001000,276728781.26507170,0
1784505600000,64722.55000000,65799.00000000,63100.00000000,65255.51000000,21323.48702000,1784591999999,1379182710.26304440,3606847,10104.82668000,654547128.90542850,0
1784592000000,65255.51000000,66956.15000000,65148.75000000,66556.16000000,18618.28087000,1784678399999,1232802690.07421990,3005241,9545.80868000,632017323.47323100,0
1784678400000,66556.15000000,66739.89000000,65553.67000000,66114.49000000,18074.86602000,1784764799999,1193958918.30683200,3381825,8854.46937000,585011981.67154300,0
1784764800000,66114.50000000,66313.14000000,64650.00000000,65098.97000000,14698.22673000,1784851199999,959991207.46039400,2557299,7036.32429000,459602971.04271410,0
1784851200000,65098.98000000,65808.59000000,63739.75000000,64139.99000000,16821.27180000,1784937599999,1086879409.16405160,2467691,8133.22286000,525535644.02044620,0
1784937600000,64140.00000000,64475.28000000,63810.00000000,64375.00000000,8863.05030000,1785023999999,568282056.08358410,1005338,4621.49495000,296311657.92594380,0
1785024000000,64375.01000000,65577.00000000,64293.81000000,65399.99000000,7933.06089000,1785110399999,513834097.46235940,1138023,4091.47971000,265047345.63367550,0
1785110400000,65400.00000000,65744.60000000,63605.56000000,63755.86000000,14791.90543000,1785196799999,961311197.98538680,2921636,6694.82928000,435156822.31787570,0
1785196800000,63755.86000000,64100.00000000,62742.47000000,63915.00000000,13889.82996000,1785283199999,881901504.49362390,2679943,7070.02830000,449032421.85857520,0
1785283200000,63915.00000000,64744.81000000,63267.34000000,63984.28000000,16780.11912000,1785369599999,1075624907.64993810,3615294,8931.61763000,572491996.78194980,0
1785369600000,63984.29000000,65176.60000000,63603.92000000,64780.02000000,17131.58486000,1785455999999,1104856756.92441380,3246691,8996.19220000,580226535.02641050,0
1785456000000,64780.03000000,65409.56000000,62466.00000000,62887.88000000,20475.60686000,1785542399999,1302023180.89668250,2740238,9659.56143000,614195527.41951000,0
1785542400000,62887.88000000,63150.00000000,62275.00000000,62823.64000000,7563.08904000,1785628799999,475812069.76235600,831983,3772.23898000,237336841.66406610,0
1785628800000,62823.65000000,63796.33000000,62806.58000000,63570.00000000,8387.01154000,1785715199999,531238376.42127370,1286064,4566.33112000,289282425.13673770,0
1785715200000,63570.01000000,64080.00000000,62300.00000000,63520.00000000,15543.29743000,1785801599999,983698515.95577920,2494364,7987.90387000,505558159.39526640,0
1785801600000,63520.00000000,64549.16000000,63322.01000000,64106.56000000,13690.47909000,1785887999999,875057683.29647230,2388039,7360.46366000,470519870.70858920,0
1785888000000,64106.55000000,65025.22000000,63880.00000000,64665.23000000,12742.85528000,1785974399999,820929974.25524970,2402227,6522.48250000,420180741.60884970,0
1785974400000,64665.24000000,64999.00000000,64172.00000000,64323.61000000,9864.43284000,1786060799999,637366646.71670770,2087951,4666.15261000,301530716.38684180,0
1786060800000,64323.61000000,65390.99000000,64166.00000000,64923.19000000,11807.40403000,1786147199999,765604113.53555880,2283383,5639.26621000,365759790.12034750,0
1786147200000,64923.20000000,65192.54000000,64784.19000000,64962.60000000,5760.14298000,1786233599999,374451358.83061990,540447,2810.00611000,182668411.39869090,0
